,word1,word2,similarity
0,старый,новый,0.0
1,глупый,тупой,0.8230000000000001
2,большой,огромный,0.915
3,новый,свежий,0.7769999999999999
4,простой,легкий,0.7
5,старый,свежий,0.0
6,красивый,прекрасный,0.938
7,тупой,глупый,0.885
8,крупный,большой,0.946
9,необходимый,важный,0.738
10,честный,виноватый,0.0
11,плохой,виноватый,0.162
12,новый,старый,0.0
13,легкий,большой,0.0
14,тупой,умный,0.0
15,огромный,тупой,0.0
16,жена,муж,0.0
17,книга,текст,0.5309999999999999
18,ночь,день,0.0
19,мир,земля,0.585
20,нога,рука,0.0
21,женщина,мужчина,0.0
22,деньги,зарплата,0.754
23,область,регион,0.908
24,книга,история,0.1379999999999999
25,зима,лето,0.0
26,налог,доход,0.223
27,зима,сезон,0.392
28,дом,квартира,0.6920000000000001
29,мальчик,ребенок,0.562
30,отец,родитель,0.946
31,школа,класс,0.369
32,мальчик,сын,0.362
33,область,зона,0.8079999999999999
34,предприятие,компания,0.923
35,деньги,капитал,0.8079999999999999
36,глаз,слеза,0.177
37,бог,дух,0.408
38,фраза,слово,0.2
39,ситуация,состояние,0.262
40,стиль,мода,0.762
41,рука,тело,0.115
42,животное,человек,0.254
43,рот,зуб,0.315
44,сын,отец,0.146
45,сердце,операция,0.1
46,женщина,секретарь,0.154
47,мужчина,отец,0.508
48,история,тема,0.185
49,женщина,жена,0.462
50,отец,дочь,0.192
51,брат,сын,0.092
52,август,месяц,0.285
53,мнение,выбор,0.177
54,глава,руководитель,0.8619999999999999
55,преступление,нарушение,0.623
56,пляж,море,0.346
57,мнение,идея,0.3
58,мать,жена,0.2
59,отец,мать,0.154
60,толпа,группа,0.638
61,мужчина,ребенок,0.023
62,бог,жертва,0.046
63,брат,человек,0.154
64,день,утро,0.077
65,друг,парень,0.1
66,песня,история,0.177
67,идея,образ,0.5690000000000001
68,отец,брат,0.0689999999999999
69,внимание,интерес,0.708
70,кровь,мозг,0.123
71,руководство,управление,0.8690000000000001
72,книга,тема,0.2
73,книга,информация,0.5309999999999999
74,население,народ,0.8619999999999999
75,глава,мэр,0.708
76,девочка,ребенок,0.469
77,мужчина,муж,0.562
78,задача,работа,0.6920000000000001
79,клуб,общество,0.669
80,электорат,партия,0.208
81,мальчик,брат,0.254
82,автомобиль,мост,0.115
83,факт,суть,0.6769999999999999
84,работа,управление,0.446
85,ценность,вера,0.223
86,счастие,удача,0.7769999999999999
87,идея,план,0.654
88,действие,движение,0.708
89,отец,бог,0.492
90,действие,курс,0.308
91,игра,действие,0.462
92,дом,государство,0.2689999999999999
93,газета,информация,0.5539999999999999
94,парень,товарищ,0.477
95,слово,страница,0.215
96,политик,президент,0.746
97,президент,мэр,0.392
98,статья,журнал,0.392
99,книга,статья,0.392
100,дочь,ребенок,0.769
101,доказательство,факт,0.662
102,парень,девушка,0.031
103,ребенок,мальчик,0.5379999999999999
104,нос,рот,0.123
105,улица,автомобиль,0.062
106,красота,возраст,0.285
107,книга,тема,0.215
108,автомобиль,завод,0.177
109,глава,выбор,0.0849999999999999
110,тюрьма,выбор,0.062
111,состояние,мальчик,0.0849999999999999
112,задача,женщина,0.046
113,ночь,глава,0.023
114,диета,яблоко,0.238
115,глава,конец,0.1
