,word1,word2,similarity
0,старый,новый,0.0
1,тяжелый,трудный,0.8619999999999999
2,счастливый,радостный,0.8460000000000001
3,тяжелый,легкий,0.0
4,быстрый,скоростной,0.915
5,счастливый,довольный,0.8079999999999999
6,короткий,длинный,0.0
7,глупый,тупой,0.8230000000000001
8,чудный,странный,0.8539999999999999
9,широкий,узкий,0.0
10,плохой,ужасный,0.8619999999999999
11,легкий,трудный,0.0
12,плохой,ужасный,0.8619999999999999
13,трудный,простой,0.0
14,безумный,сумасшедший,0.931
15,большой,огромный,0.915
16,твердый,прочный,0.7769999999999999
17,новый,свежий,0.7769999999999999
18,острый,тупой,0.0
19,скорый,скоростной,0.915
20,тупой,дурацкий,0.754
21,странный,необычный,0.892
22,счастливый,злой,0.0
23,узкий,широкий,0.0
24,простой,легкий,0.7
25,старый,свежий,0.0
26,недорогой,дешевый,0.946
27,ненормальный,нормальный,0.0
28,ненормальный,необычный,0.5920000000000001
29,плохой,безнравственный,0.585
30,печальный,смешной,0.0
31,прекрасный,великолепный,0.938
32,красивый,прекрасный,0.938
33,тупой,глупый,0.885
34,крупный,большой,0.946
35,милый,жестокий,0.0
36,большой,широкий,0.331
37,сильный,гордый,0.3229999999999999
38,ненужный,необходимый,0.0
39,тупой,интеллектуальный,0.0
40,плохой,великолепный,0.0
41,трудный,простой,0.0
42,необходимый,важный,0.738
43,честный,виноватый,0.0
44,легкий,трудный,0.0
45,убежденный,бесспорный,0.5920000000000001
46,неотъемлемый,необходимый,0.8150000000000001
47,необычный,обычный,0.0
48,хитрый,умный,0.338
49,решающий,важный,0.708
50,жесткий,жестокий,0.377
51,скудный,редкий,0.485
52,длинный,узкий,0.1
53,большой,тяжелый,0.292
54,грубый,равнодушный,0.285
55,эксцентричный,странный,0.631
56,нелегальный,безнравственный,0.162
57,плохой,виноватый,0.162
58,современный,старинный,0.0
59,новый,старый,0.0
60,скучный,смешной,0.0
61,счастливый,молодой,0.046
62,легкий,большой,0.0
63,прекрасный,ужасный,0.0
64,вежливый,приличный,0.5379999999999999
65,тупой,умный,0.0
66,заметный,очевидный,0.6769999999999999
67,официальный,приличный,0.231
68,печальный,ужасный,0.231
69,больной,сумасшедший,0.462
70,яростный,злой,0.746
71,грузить,тяжелый,0.638
72,грязный,дешевый,0.077
73,твердый,плотный,0.631
74,недавний,новый,0.6769999999999999
75,дерзкий,гордый,0.0849999999999999
76,немой,редкий,0.0
77,свежий,широкий,0.0
78,огромный,тупой,0.0
79,крупный,гибкий,0.0
80,грязный,узкий,0.0
81,жена,муж,0.0
82,книга,текст,0.5309999999999999
83,жених,невеста,0.0
84,ночь,день,0.0
85,юг,север,0.0
86,самолет,аэропорт,0.131
87,дядя,тетя,0.0
88,лошадь,кобыла,1.0
89,низ,верх,0.0
90,друг,приятель,0.931
91,учащийся,ученик,0.985
92,мир,земля,0.585
93,нога,рука,0.0
94,женщина,мужчина,0.0
95,актриса,актер,0.369
96,учитель,преподаватель,0.992
97,птица,ястреб,0.523
98,слово,словарь,0.2769999999999999
99,деньги,зарплата,0.754
100,собака,кошка,0.0
101,область,регион,0.908
102,флот,армия,0.4379999999999999
103,книга,литература,0.6
104,одежда,шкаф,0.092
105,закат,рассвет,0.0
106,ребенок,взрослый,0.0
107,корова,скот,0.8079999999999999
108,книга,история,0.1379999999999999
109,зима,лето,0.0
110,дерево,клен,0.523
111,кровать,спальня,0.246
112,крыша,потолок,0.2769999999999999
113,болезнь,инфекция,0.8310000000000001
114,рука,плечо,0.2
115,овца,ягненок,0.615
116,госпожа,господин,0.4379999999999999
117,священник,монах,0.738
118,палец,палец,0.992
119,река,поток,0.623
120,злость,ярость,0.885
121,дата,календарь,0.446
122,море,океан,0.5770000000000001
123,секунда,минута,0.2689999999999999
124,дерево,бревно,0.5920000000000001
125,проход,коридор,0.669
126,привычка,манера,0.8150000000000001
127,мышка,кошка,0.154
128,музыка,мелодия,0.877
129,пиво,алкоголь,0.631
130,рот,губа,0.431
131,буря,ураган,0.8539999999999999
132,налог,доход,0.223
133,цветок,фиалка,0.631
134,пол,потолок,0.131
135,пляж,побережье,0.662
136,улица,переулок,0.5690000000000001
137,судно,палуба,0.308
138,автомобиль,гудок,0.185
139,друг,гость,0.246
140,работодатель,работник,0.208
141,ядро,пушка,0.2769999999999999
142,победа,триумф,0.962
143,телефон,будка,0.262
144,одежда,ткань,0.4
145,ноготь,палец,0.331
146,группа,оркестр,0.477
147,книга,библия,0.523
148,предприятие,промышленность,0.523
149,зима,сезон,0.392
150,десятилетие,век,0.208
151,шляпа,пальто,0.123
152,окно,дверь,0.015
153,дом,квартира,0.6920000000000001
154,ужин,завтрак,0.031
155,рука,мускул,0.154
156,пузырь,пена,0.3229999999999999
157,хлеб,мука,0.515
158,смерть,трагедия,0.477
159,отсутствие,присутствие,0.008
160,ружье,пушка,0.338
161,мяч,корзина,0.077
162,мальчик,ребенок,0.562
163,церковь,хор,0.146
164,одежда,ящик,0.031
165,башня,колокол,0.108
166,отец,родитель,0.946
167,школа,класс,0.369
168,родитель,взрослый,0.354
169,словарь,толкование,0.5690000000000001
170,дверь,подвал,0.038
171,армия,легион,0.6849999999999999
172,стул,скамейка,0.3
173,облако,туман,0.377
174,мальчик,сын,0.362
175,вода,лед,0.2
176,постель,одеяло,0.338
177,представитель,адвокат,0.615
178,область,зона,0.8079999999999999
179,предприятие,компания,0.923
180,одежда,ткань,0.3229999999999999
181,свитер,пиджак,0.154
182,деньги,капитал,0.8079999999999999
183,алкоголь,коктейль,0.5309999999999999
184,линза,фотоаппарат,0.177
185,глаз,слеза,0.177
186,бог,дьявол,0.008
187,петля,пояс,0.0849999999999999
188,крыса,мышь,0.346
189,мотор,двигатель,0.892
190,автомобиль,такси,0.415
191,кот,лев,0.115
192,размер,величина,0.8150000000000001
193,реальность,фантазия,0.023
194,дверь,ворота,0.315
195,кот,питомец,0.446
196,кость,челюсть,0.208
197,дом,ключ,0.062
198,кровь,плоть,0.123
199,дверь,коридор,0.0689999999999999
200,бог,дух,0.408
201,способность,компетенция,0.231
202,изобилие,множество,0.8690000000000001
203,диван,стул,0.123
204,стена,кирпич,0.192
205,орган,печень,0.315
206,сила,мощь,0.7769999999999999
207,фраза,слово,0.2
208,оркестр,парад,0.154
209,желудок,талия,0.0
210,туча,буря,0.238
211,радость,гордость,0.177
212,шум,грохот,0.762
213,пиво,напиток,0.4
214,мужчина,дядя,0.4379999999999999
215,яблоко,сок,0.1379999999999999
216,интеллект,логика,0.431
217,общение,язык,0.385
218,берег,побережье,0.762
219,провод,шнур,0.792
220,компетенция,способность,0.254
221,вода,соль,0.0
222,чувство,интуиция,0.6849999999999999
223,ситуация,состояние,0.262
224,преступление,кража,0.5
225,стиль,мода,0.762
226,рубеж,граница,0.977
227,рука,тело,0.115
228,судно,автомобиль,0.0849999999999999
229,бутерброд,обед,0.215
230,невеста,принцесса,0.146
231,героиня,герой,0.654
232,автомобиль,датчик,0.162
233,насекомое,пчела,0.6459999999999999
234,животное,человек,0.254
235,койка,больница,0.238
236,щека,язык,0.2689999999999999
237,диск,компьютер,0.254
238,факультет,юриспруденция,0.192
239,ступня,голова,0.1379999999999999
240,алкоголь,висок,0.631
241,рот,зуб,0.315
242,ванная,спальня,0.108
243,тарелка,миска,0.8310000000000001
244,воздух,гелий,0.185
245,работник,работодатель,0.177
246,тело,грудь,0.362
247,сын,отец,0.146
248,сердце,операция,0.1
249,женщина,секретарь,0.154
250,мужчина,отец,0.508
251,пляж,остров,0.446
252,история,тема,0.185
253,игра,веселие,0.523
254,выходной,неделя,0.292
255,чета,пара,0.8079999999999999
256,женщина,жена,0.462
257,овца,скот,0.608
258,потолок,собор,0.008
259,боб,кофе,0.2769999999999999
260,дерево,бумага,0.285
261,верх,бок,0.146
262,преступление,мошенничество,0.5690000000000001
263,боль,вред,0.215
264,вечер,сумерки,0.7230000000000001
265,отец,дочь,0.192
266,вино,спиртное,0.6459999999999999
267,корова,коза,0.215
268,реальность,иллюзия,0.015
269,пакт,соглашение,0.8539999999999999
270,богатство,бедность,0.023
271,происшествие,авария,0.492
272,битва,завоевание,0.408
273,друг,наставник,0.3
274,болезнь,инфекция,0.669
275,брат,сын,0.092
276,тетя,племянник,0.1379999999999999
277,работник,механик,0.254
278,дуб,клен,0.292
279,пчела,матка,0.2769999999999999
280,автомобиль,велосипед,0.1379999999999999
281,цель,поиск,0.062
282,август,месяц,0.285
283,армия,отряд,0.377
284,облако,погода,0.246
285,река,долина,0.023
286,солнце,небо,0.1689999999999999
287,мишень,стрела,0.108
288,шоколад,пирог,0.177
289,обстоятельство,ситуация,0.5920000000000001
290,мнение,выбор,0.177
291,ритм,мелодия,0.5
292,день,рассвет,0.154
293,скот,бык,0.523
294,доктор,профессор,0.446
295,рука,вена,0.108
296,комната,ванна,0.0849999999999999
297,корпорация,предприятие,0.8310000000000001
298,развлечение,футбол,0.1689999999999999
299,яблоко,сладость,0.154
300,помощница,служанка,0.6
301,глава,руководитель,0.8619999999999999
