,word1,word2,similarity
0,старый,новый,0.0
1,тяжелый,трудный,0.8619999999999999
2,тяжелый,легкий,0.0
3,счастливый,довольный,0.8079999999999999
4,короткий,длинный,0.0
5,глупый,тупой,0.8230000000000001
6,широкий,узкий,0.0
7,плохой,ужасный,0.8619999999999999
8,легкий,трудный,0.0
9,плохой,ужасный,0.8619999999999999
10,трудный,простой,0.0
11,безумный,сумасшедший,0.931
12,большой,огромный,0.915
13,новый,свежий,0.7769999999999999
14,острый,тупой,0.0
15,тупой,дурацкий,0.754
16,странный,необычный,0.892
17,счастливый,злой,0.0
18,узкий,широкий,0.0
19,простой,легкий,0.7
20,старый,свежий,0.0
21,недорогой,дешевый,0.946
22,печальный,смешной,0.0
23,прекрасный,великолепный,0.938
24,красивый,прекрасный,0.938
25,тупой,глупый,0.885
26,крупный,большой,0.946
27,милый,жестокий,0.0
28,большой,широкий,0.331
29,сильный,гордый,0.3229999999999999
30,ненужный,необходимый,0.0
31,тупой,интеллектуальный,0.0
32,плохой,великолепный,0.0
33,трудный,простой,0.0
34,необходимый,важный,0.738
35,честный,виноватый,0.0
36,легкий,трудный,0.0
37,необычный,обычный,0.0
38,хитрый,умный,0.338
39,решающий,важный,0.708
40,жесткий,жестокий,0.377
41,длинный,узкий,0.1
42,большой,тяжелый,0.292
43,грубый,равнодушный,0.285
44,плохой,виноватый,0.162
45,новый,старый,0.0
46,скучный,смешной,0.0
47,счастливый,молодой,0.046
48,легкий,большой,0.0
49,прекрасный,ужасный,0.0
50,вежливый,приличный,0.5379999999999999
51,тупой,умный,0.0
52,заметный,очевидный,0.6769999999999999
53,официальный,приличный,0.231
54,печальный,ужасный,0.231
55,больной,сумасшедший,0.462
56,грязный,дешевый,0.077
57,недавний,новый,0.6769999999999999
58,немой,редкий,0.0
59,свежий,широкий,0.0
60,огромный,тупой,0.0
61,грязный,узкий,0.0
62,жена,муж,0.0
63,книга,текст,0.5309999999999999
64,ночь,день,0.0
65,юг,север,0.0
66,самолет,аэропорт,0.131
67,дядя,тетя,0.0
68,низ,верх,0.0
69,друг,приятель,0.931
70,учащийся,ученик,0.985
71,мир,земля,0.585
72,нога,рука,0.0
73,женщина,мужчина,0.0
74,актриса,актер,0.369
75,учитель,преподаватель,0.992
76,слово,словарь,0.2769999999999999
77,деньги,зарплата,0.754
78,собака,кошка,0.0
79,область,регион,0.908
80,флот,армия,0.4379999999999999
81,книга,литература,0.6
82,одежда,шкаф,0.092
83,закат,рассвет,0.0
84,ребенок,взрослый,0.0
85,корова,скот,0.8079999999999999
86,книга,история,0.1379999999999999
87,зима,лето,0.0
88,кровать,спальня,0.246
89,крыша,потолок,0.2769999999999999
90,рука,плечо,0.2
91,госпожа,господин,0.4379999999999999
92,священник,монах,0.738
93,палец,палец,0.992
94,река,поток,0.623
95,дата,календарь,0.446
96,море,океан,0.5770000000000001
97,секунда,минута,0.2689999999999999
98,дерево,бревно,0.5920000000000001
99,проход,коридор,0.669
100,привычка,манера,0.8150000000000001
101,пиво,алкоголь,0.631
102,рот,губа,0.431
103,налог,доход,0.223
104,пол,потолок,0.131
105,пляж,побережье,0.662
106,улица,переулок,0.5690000000000001
107,автомобиль,гудок,0.185
108,друг,гость,0.246
109,работодатель,работник,0.208
110,ядро,пушка,0.2769999999999999
111,одежда,ткань,0.4
112,ноготь,палец,0.331
113,книга,библия,0.523
114,предприятие,промышленность,0.523
115,зима,сезон,0.392
116,десятилетие,век,0.208
117,шляпа,пальто,0.123
118,окно,дверь,0.015
119,дом,квартира,0.6920000000000001
120,ужин,завтрак,0.031
121,пузырь,пена,0.3229999999999999
122,хлеб,мука,0.515
123,смерть,трагедия,0.477
124,отсутствие,присутствие,0.008
125,ружье,пушка,0.338
126,мяч,корзина,0.077
127,мальчик,ребенок,0.562
128,церковь,хор,0.146
129,одежда,ящик,0.031
130,отец,родитель,0.946
131,школа,класс,0.369
132,родитель,взрослый,0.354
133,словарь,толкование,0.5690000000000001
134,дверь,подвал,0.038
135,армия,легион,0.6849999999999999
136,стул,скамейка,0.3
137,облако,туман,0.377
138,мальчик,сын,0.362
139,вода,лед,0.2
140,постель,одеяло,0.338
141,представитель,адвокат,0.615
142,область,зона,0.8079999999999999
143,предприятие,компания,0.923
144,одежда,ткань,0.3229999999999999
145,деньги,капитал,0.8079999999999999
146,алкоголь,коктейль,0.5309999999999999
147,глаз,слеза,0.177
148,бог,дьявол,0.008
149,крыса,мышь,0.346
150,автомобиль,такси,0.415
151,кот,лев,0.115
152,размер,величина,0.8150000000000001
153,реальность,фантазия,0.023
154,дверь,ворота,0.315
155,дом,ключ,0.062
156,кровь,плоть,0.123
157,дверь,коридор,0.0689999999999999
158,бог,дух,0.408
159,способность,компетенция,0.231
160,диван,стул,0.123
161,стена,кирпич,0.192
162,орган,печень,0.315
163,сила,мощь,0.7769999999999999
164,фраза,слово,0.2
165,радость,гордость,0.177
166,пиво,напиток,0.4
167,мужчина,дядя,0.4379999999999999
168,яблоко,сок,0.1379999999999999
169,интеллект,логика,0.431
170,общение,язык,0.385
171,берег,побережье,0.762
172,компетенция,способность,0.254
173,вода,соль,0.0
174,ситуация,состояние,0.262
175,преступление,кража,0.5
176,стиль,мода,0.762
177,рубеж,граница,0.977
178,рука,тело,0.115
179,судно,автомобиль,0.0849999999999999
180,невеста,принцесса,0.146
181,животное,человек,0.254
182,щека,язык,0.2689999999999999
183,диск,компьютер,0.254
184,рот,зуб,0.315
185,ванная,спальня,0.108
186,работник,работодатель,0.177
187,тело,грудь,0.362
188,сын,отец,0.146
189,сердце,операция,0.1
190,женщина,секретарь,0.154
191,мужчина,отец,0.508
192,пляж,остров,0.446
193,история,тема,0.185
194,выходной,неделя,0.292
195,чета,пара,0.8079999999999999
196,женщина,жена,0.462
197,овца,скот,0.608
198,потолок,собор,0.008
199,боб,кофе,0.2769999999999999
200,дерево,бумага,0.285
201,верх,бок,0.146
202,преступление,мошенничество,0.5690000000000001
203,боль,вред,0.215
204,вечер,сумерки,0.7230000000000001
205,отец,дочь,0.192
206,реальность,иллюзия,0.015
207,богатство,бедность,0.023
208,происшествие,авария,0.492
209,битва,завоевание,0.408
210,брат,сын,0.092
211,пчела,матка,0.2769999999999999
212,автомобиль,велосипед,0.1379999999999999
213,цель,поиск,0.062
214,август,месяц,0.285
215,армия,отряд,0.377
216,облако,погода,0.246
217,река,долина,0.023
218,солнце,небо,0.1689999999999999
219,шоколад,пирог,0.177
220,обстоятельство,ситуация,0.5920000000000001
221,мнение,выбор,0.177
222,день,рассвет,0.154
223,скот,бык,0.523
224,доктор,профессор,0.446
225,рука,вена,0.108
226,комната,ванна,0.0849999999999999
227,корпорация,предприятие,0.8310000000000001
228,развлечение,футбол,0.1689999999999999
229,глава,руководитель,0.8619999999999999
230,лимон,чай,0.023
231,пчела,муравей,0.062
232,кровать,мебель,0.308
233,эмоция,страсть,0.385
234,анархия,хаос,0.754
235,преступление,нарушение,0.623
236,механизм,двигатель,0.508
237,пляж,море,0.346
238,дорожка,шар,0.0
239,банка,бутылка,0.3229999999999999
240,сила,способность,0.238
241,гитара,барабан,0.0849999999999999
242,мнение,идея,0.3
243,север,запад,0.046
244,диета,салат,0.285
245,мать,жена,0.2
246,отец,мать,0.154
247,наука,психология,0.2689999999999999
248,разрушение,построение,0.023
249,толпа,группа,0.638
250,мужчина,ребенок,0.023
251,хлеб,сыр,0.038
252,чемпион,победитель,0.938
253,праздник,церемония,0.6849999999999999
254,меню,заказ,0.331
255,король,принцесса,0.0849999999999999
256,богатство,репутация,0.131
257,опасность,угроза,0.969
258,бог,священник,0.215
259,мужчина,братство,0.1689999999999999
260,приятель,спутник,0.477
261,тело,желудок,0.092
262,язык,горло,0.1379999999999999
263,дом,ковер,0.0849999999999999
264,ум,навык,0.285
265,путешествие,завоевание,0.0689999999999999
266,бог,жертва,0.046
267,брат,человек,0.154
268,соперник,противник,0.908
269,чудовище,демон,0.6849999999999999
270,день,утро,0.077
271,человек,победитель,0.046
272,друг,парень,0.1
273,песня,история,0.177
274,луч,солнце,0.354
275,коробка,лифт,0.177
276,квартира,мебель,0.1689999999999999
277,озеро,болото,0.331
278,водитель,пилот,0.662
279,сахар,мед,0.2689999999999999
280,тело,плечо,0.154
281,идея,образ,0.5690000000000001
282,отец,брат,0.0689999999999999
283,луна,планета,0.462
284,бал,костюм,0.192
285,комната,кровать,0.115
286,цветок,куст,0.3
287,кость,колено,0.2689999999999999
288,рука,колено,0.046
289,низ,бок,0.046
290,кот,кролик,0.046
291,внимание,интерес,0.708
292,настрой,уверенность,0.469
293,право,правосудие,0.492
294,спор,соглашение,0.131
295,глубина,величина,0.315
296,носитель,новость,0.1
297,победитель,кандидат,0.192
298,юбилей,дата,0.662
299,выход,проход,0.4539999999999999
300,человек,охранник,0.231
301,проход,коридор,0.8539999999999999
302,кровь,мозг,0.123
303,крыша,пол,0.023
304,дверь,пол,0.031
305,плечо,голова,0.054
306,платформа,вагон,0.262
307,богатство,слава,0.3229999999999999
